| end of epoch  47 | time:  2.21s | train_loss 0.0006 | valid rse 0.5740 | valid rae 0.6522 | valid corr  0.9117 | valid smape  0.1392 | focus_rrse 0.7153 | obj 0.6729
| end of epoch  48 | time:  2.24s | train_loss 0.0007 | valid rse 1.0131 | valid rae 1.0938 | valid corr  0.9245 | valid smape  0.1362 | focus_rrse 1.0228 | obj 1.0199
| end of epoch  49 | time:  2.28s | train_loss 0.0010 | valid rse 0.5236 | valid rae 0.6016 | valid corr  0.9081 | valid smape  0.1440 | focus_rrse 1.1194 | obj 0.9407
| end of epoch  50 | time:  2.25s | train_loss 0.0008 | valid rse 0.7131 | valid rae 0.7604 | valid corr  0.9174 | valid smape  0.1468 | focus_rrse 0.7140 | obj 0.7137
| end of epoch  51 | time:  2.23s | train_loss 0.0008 | valid rse 0.9009 | valid rae 0.9842 | valid corr  0.9172 | valid smape  0.1461 | focus_rrse 0.9042 | obj 0.9032
| end of epoch  52 | time:  2.25s | train_loss 0.0009 | valid rse 0.5909 | valid rae 0.6841 | valid corr  0.9129 | valid smape  0.1535 | focus_rrse 0.9555 | obj 0.8461
| end of epoch  53 | time:  2.29s | train_loss 0.0011 | valid rse 0.4029 | valid rae 0.4039 | valid corr  0.9123 | valid smape  0.1430 | focus_rrse 0.5531 | obj 0.5080
test rse 0.1426 | test rae 0.1667 | test corr 0.9497| test smape 0.0780 | test focus_rrse 0.2518
| end of epoch  54 | time:  2.21s | train_loss 0.0009 | valid rse 0.8128 | valid rae 0.8898 | valid corr  0.9097 | valid smape  0.1343 | focus_rrse 0.8179 | obj 0.8164
| end of epoch  55 | time:  2.37s | train_loss 0.0006 | valid rse 1.0927 | valid rae 1.2103 | valid corr  0.9253 | valid smape  0.1433 | focus_rrse 1.1091 | obj 1.1042
| end of epoch  56 | time:  2.18s | train_loss 0.0006 | valid rse 0.8278 | valid rae 0.9130 | valid corr  0.9128 | valid smape  0.1412 | focus_rrse 0.8329 | obj 0.8314
| end of epoch  57 | time:  2.25s | train_loss 0.0009 | valid rse 0.7577 | valid rae 0.8415 | valid corr  0.9129 | valid smape  0.1355 | focus_rrse 0.7622 | obj 0.7609
| end of epoch  58 | time:  2.33s | train_loss 0.0008 | valid rse 0.8592 | valid rae 0.9628 | valid corr  0.9200 | valid smape  0.1453 | focus_rrse 0.8839 | obj 0.8765
| end of epoch  59 | time:  2.27s | train_loss 0.0009 | valid rse 0.6689 | valid rae 0.7389 | valid corr  0.9191 | valid smape  0.1447 | focus_rrse 0.7538 | obj 0.7283
| end of epoch  60 | time:  2.26s | train_loss 0.0009 | valid rse 0.4384 | valid rae 0.4816 | valid corr  0.9084 | valid smape  0.1488 | focus_rrse 0.7968 | obj 0.6893
| end of epoch  61 | time:  2.29s | train_loss 0.0007 | valid rse 0.7579 | valid rae 0.8333 | valid corr  0.9202 | valid smape  0.1385 | focus_rrse 0.7609 | obj 0.7600
