=== ULTRA-FINE TUNE ===

--- LR fine-tune ---
  s=200 e=3: us=1.4098  jp=1.3907  kr=2.3938
  s=300 e=2: us=1.4537  jp=1.3501  kr=2.3456
  s=300 e=3: us=1.4300  jp=1.5286  kr=2.2050
  s=400 e=2: us=1.2666  jp=1.1100  kr=2.4776
  s=400 e=3: us=1.1954  jp=1.3284  kr=2.3225
  s=500 e=2: us=1.4562  jp=1.2132  kr=2.4788
  s=500 e=3: us=1.5583  jp=1.3605  kr=2.4884
  s=600 e=2: us=1.3608  jp=1.2447  kr=2.3216
  s=600 e=3: us=1.3310  jp=1.4171  kr=2.1951
  s=700 e=2: us=1.2702  jp=1.1710  kr=2.3052
  s=700 e=3: us=1.3617  jp=1.4248  kr=2.1629
  s=900 e=2: us=1.4045  jp=1.2019  kr=2.4418
  s=900 e=3: us=1.2789  jp=1.4507  kr=2.2964

=== DONE ===
